"","var","cat","value","value2","class"
"1","Sex",0,34476.817932137,-4.84606056885954,"Female"
"2","Sex",1,38918.947838494,7.41395022699602,"Male"
"3","Ethnicity",1,40053.7848450124,10.5460319636291,"White"
"4","Ethnicity",2,27120.4938016742,-25.1490717726116,"Black"
"5","Ethnicity",3,30217.6257477331,-16.6011742785439,"Am. Indian, Aleut, Eskimo"
"6","Ethnicity",4,40759.3116081082,12.4932433047341,"Asian, Pac. Islander"
"7","Ethnicity",5,30175.4109547804,-16.7176845626319,"Hispanic"
"8","Ethnicity",7,38941.57002872,7.47638610848612,"Other"
"10","Mother_Edu",1,35316.7688105904,-2.52784677166953,"0-5 Grades"
"11","Mother_Edu",2,34606.4304531753,-4.4883378230809,"6-8 Grades"
"12","Mother_Edu",3,33673.4853964224,-7.06320994723056,"9-11 Grades"
"13","Mother_Edu",4,36882.4521702725,1.7933449307892,"High school"
"14","Mother_Edu",5,38098.4625722529,5.14946034623848,"12 Grades + non academic training"
"15","Mother_Edu",6,41517.8850776125,14.5868603581803,"Some College"
"16","Mother_Edu",7,40287.5001089923,11.1910720052204,"College degree"
"17","Mother_Edu",8,38628.3773272013,6.61199312972442,"Advanced College degree"
"19","Father_Edu",1,33061.0315748138,-8.75354557972524,"0-5 Grades"
"20","Father_Edu",2,33338.8614215237,-7.98675194876894,"6-8 Grades"
"21","Father_Edu",3,35328.8064546377,-2.49462359965807,"9-11 Grades"
"22","Father_Edu",4,38103.4652110367,5.163267327752,"High school"
"23","Father_Edu",5,38376.0446678523,5.91557019906261,"12 Grades + non academic training"
"24","Father_Edu",6,39164.573834587,8.09186317130987,"Some College"
"25","Father_Edu",7,39834.6064979002,9.9411129363923,"College degree"
"26","Father_Edu",8,39508.9355752842,9.04228081951652,"Advanced College degree"
"27","Mother_Occ",1,35242.7875263537,-2.73203065700227,"Low"
"28","Mother_Occ",2,35317.3692172465,-2.52618968548772,"Middle"
"29","Mother_Occ",3,39983.5251289879,10.3521193822475,"High"
"30","Father_Occ",1,34094.6768811208,-5.90074683642986,"Low"
"31","Father_Occ",2,34670.632450776,-4.31114417942496,"Middle"
"32","Father_Occ",3,42838.9612446732,18.2329509524994,"High"
