"","var","cat","value","value2","class"
"1","Sex",1,36739.2964730648,1.67777227033648,"Male"
"2","Sex",2,35573.4189984886,-1.54884978656594,"Female"
"3","Birth_Area",1,37586.8450443144,4.02340375728524,"Local"
"4","Birth_Area",2,36970.8155480541,2.31851245980262,"European Union"
"5","Birth_Area",3,28253.8125960518,-21.8062130009405,"Other"
"6","Father_Occ",0,34066.2360409975,-5.72005120393305,"Dead/unknown/not working"
"7","Father_Occ",1,39204.5309152977,8.50042730931158,"Manager"
"8","Father_Occ",2,39473.4793658511,9.24475509816486,"Professional"
"9","Father_Occ",3,37723.5963782393,4.4018696595562,"Technician"
"10","Father_Occ",4,36100.9348435313,-0.0889242814444628,"Clerical"
"11","Father_Occ",5,36282.8068968152,0.414415384563867,"Service"
"12","Father_Occ",6,36398.3666473386,0.734232559232723,"Agriculture"
"13","Father_Occ",7,34891.0948819688,-3.43721463821541,"Craft/Trades"
"14","Father_Occ",8,34679.8683599963,-4.02179420996396,"Plant Operator"
"15","Father_Occ",9,35042.0387414198,-3.01947023807095,"Elementary"
"16","Father_Occ",10,37514.91371306,3.824330333989,"Armed forces"
"17","Mother_Occ",0,35434.365993001,-1.93368567573002,"Dead/unknown/not working"
"18","Mother_Occ",1,37176.4148101606,2.88751831887622,"Manager"
"19","Mother_Occ",2,39419.095643481,9.0942455275089,"Professional"
"20","Mother_Occ",3,38631.9438962239,6.91576515953356,"Technician"
"21","Mother_Occ",4,37400.9771925839,3.50900552664717,"Clerical"
"22","Mother_Occ",5,36710.0935394264,1.59695174514533,"Service"
"23","Mother_Occ",6,35908.1670171863,-0.622418524115417,"Agriculture"
"24","Mother_Occ",7,37043.3973442982,2.51938607628261,"Craft/Trades"
"25","Mother_Occ",8,36784.3071484999,1.80234148221506,"Plant Operator"
"26","Mother_Occ",9,34947.8323607915,-3.28019093322533,"Elementary"
"27","Mother_Occ",10,38023.3968897313,5.23158201282268,"Armed forces"
"28","Mother_Edu",0,33281.5341877195,-7.89175137234002,"Unknown"
"29","Mother_Edu",1,34556.499767143,-4.36322273183713,"Low"
"30","Mother_Edu",2,37482.1667351838,3.73370149569654,"Medium"
"31","Mother_Edu",3,38676.3287389245,7.03860234918068,"High"
"32","Father_Edu",0,34844.2634771973,-3.56682280621457,"Unknown"
"33","Father_Edu",1,34478.8298444476,-4.5781779833037,"Low"
"34","Father_Edu",2,36547.0710348658,1.14577911298007,"Medium"
"35","Father_Edu",3,38228.3068570938,5.7986802154974,"High"
