,c,y,Circumstances,OLS,Ctree,Trafo
85,BE,2011,Mother_Edu,22.90229397,21.1235483,16.15696283
86,BE,2011,Father_Edu,23.91812298,23.34517431,16.61693946
87,BE,2019,Father_Occ,19.58404962,20.36291674,17.53715191
88,BE,2011,Birth_Area,15.57269696,15.01748417,18.19577818
89,BE,2019,Father_Edu,20.33798005,19.33538776,18.27706437
90,BE,2005,Mother_Occ,23.10443326,22.97545977,18.93661495
91,BE,2019,Mother_Occ,17.6172746,18.10806148,19.23459813
92,BE,2005,Mother_Edu,23.28756447,21.33567426,19.68403695
93,BE,2019,Mother_Edu,20.35436984,19.32111652,20.1921319
94,BE,2019,Birth_Area,19.35459254,18.89297945,20.78696348
95,BE,2005,Father_Edu,21.6957316,22.23693042,23.25505315
96,BE,2005,Father_Occ,22.48460453,22.41217468,23.35194119
97,BE,2011,Mother_Occ,9.477722905,8.802383182,23.60361158
98,BEN,2018,Sex,3.651887161,4.294686168,5.898900195
99,BEN,2018,Mother_Occ,9.32768019,8.288609372,9.554013585
100,BEN,2018,Father_Occ,14.18932258,14.26801739,15.19584026
101,BEN,2018,Mother_Edu,14.92205815,15.08286953,15.34950869
102,BEN,2018,Ethnicity,27.459978,27.40894287,24.71230665
103,BEN,2018,Father_Edu,30.44907392,30.65687467,29.28943062
104,BFA,2018,Sex,3.980139546,5.081561004,8.774849965
105,BFA,2018,Mother_Edu,12.38836415,12.30791404,11.07723319
106,BFA,2018,Father_Edu,18.49669202,17.35489077,17.18796098
107,BFA,2018,Father_Occ,17.29728351,17.73723749,17.75269649
108,BFA,2018,Mother_Occ,21.81052172,21.85383719,21.14110953
109,BFA,2018,Ethnicity,26.02699906,25.66455951,24.06614985
110,BG,2019,Birth_Area,0.173229565,0,0
111,BG,2011,Birth_Area,0.213490652,0,0
112,BG,2011,Sex,0.867398929,1.951647774,1.519575116
113,BG,2019,Sex,1.837704869,2.035995671,3.986922251
114,BG,2019,Father_Edu,22.95315604,22.69187444,20.74485406
115,BG,2011,Father_Occ,25.15692737,25.3030888,23.19972531
116,BG,2019,Mother_Edu,22.40291627,22.56735809,23.4874947
117,BG,2011,Father_Edu,22.03504269,21.93277772,24.50033423
118,BG,2011,Mother_Occ,26.68622898,27.1788274,24.73044196
119,BG,2019,Mother_Occ,25.89693881,26.60030428,25.53056323
120,BG,2011,Mother_Edu,25.04091138,24.27995865,26.53128507
121,BG,2019,Father_Occ,26.73605445,26.8147491,26.8581603
122,BOL,2008,Sex,1.659982341,1.89799682,1.401017582
123,BOL,2008,Birth_Area,15.13667592,15.02041841,10.89974688
124,BOL,2008,Ethnicity,15.26283138,15.81571669,14.63189863
125,BOL,2008,Father_Edu,16.17882968,15.9959843,17.58632117
126,BOL,2008,Mother_Occ,17.37456399,17.52825898,18.39724614
127,BOL,2008,Father_Occ,17.22646846,17.08819393,18.4399264
128,BOL,2008,Mother_Edu,17.16064822,16.65343087,18.6438432
129,BRA,2014,Sex,1.020362951,1.180677412,3.008019602
130,BRA,2014,Ethnicity,10.14216428,9.482198811,9.085775072
131,BRA,2014,Birth_Area,12.59180163,12.81068545,12.23281625
132,BRA,2014,Mother_Occ,13.96912691,14.06132983,17.49677057
133,BRA,2014,Father_Occ,19.13052234,19.23131647,18.56295309
134,BRA,2014,Father_Edu,21.76602711,22.09204241,19.78365483
135,BRA,2014,Mother_Edu,21.37999477,21.14174963,19.83001059
136,CH,2011,Sex,3.488308302,5.718986539,9.281299911
137,CH,2019,Father_Occ,10.71480657,6.373834519,11.70384111
138,CH,2019,Sex,8.007976573,8.755766222,11.97454068
139,CH,2019,Birth_Area,14.086472,17.15748896,15.62898496
140,CH,2019,Mother_Occ,9.733382826,10.0838736,16.39596709
141,CH,2011,Mother_Occ,14.66593723,15.84015307,16.40722755
142,CH,2011,Birth_Area,9.143262582,10.41706384,16.80503419
143,CH,2011,Father_Edu,23.21450846,21.13274015,16.8915139
144,CH,2011,Mother_Edu,19.49414381,18.20369196,17.54875965
145,CH,2019,Mother_Edu,28.36460447,28.02775909,19.61428427
146,CH,2011,Father_Occ,29.99383962,28.68736445,23.06616479
147,CH,2019,Father_Edu,29.09275757,29.60127761,24.68238189
148,CHI,2018,Sex,2.239700379,2.842078982,2.364606934
149,CHI,2010,Ethnicity,6.046873884,4.208115063,3.066133968
150,CHI,2012,Sex,0.834841463,3.328827877,3.955807095
151,CHI,2016,Sex,2.176432686,4.509321229,4.273462877
152,CHI,2014,Ethnicity,6.501588284,4.295202303,4.490308315
153,CHI,2014,Sex,1.402845246,2.910123326,6.7347844
154,CHI,2018,Ethnicity,13.65523578,12.48115918,8.649068799
155,CHI,2016,Ethnicity,7.641213403,6.195958907,9.009694409
156,CHI,2018,Father_Edu,6.764000046,4.328571816,10.46070418
157,CHI,2012,Birth_Area,35.85569393,35.98117411,11.32819195
158,CHI,2014,Mother_Edu,6.19471949,4.527482628,11.63893456
159,CHI,2010,Mother_Edu,9.641101849,9.327705554,11.84988435
160,CHI,2014,Mother_Occ,15.29062528,16.30495542,11.92776794
161,CHI,2012,Ethnicity,1.717538069,0,12.15289941
162,CHI,2016,Father_Edu,5.226700141,3.105061805,12.22823849
163,CHI,2010,Father_Occ,17.94762166,17.41057323,12.25046517
164,CHI,2016,Birth_Area,52.63096752,60.20652383,13.56275677
165,CHI,2010,Sex,1.404066231,2.276693328,14.31142444
166,CHI,2012,Father_Edu,10.22500045,10.07550784,14.63202002
167,CHI,2018,Birth_Area,42.10777974,48.56659853,15.4117574
168,CHI,2014,Father_Occ,15.19620411,15.29840734,15.75481028
169,CHI,2012,Mother_Edu,10.58241135,11.06600196,16.12648989
170,CHI,2014,Father_Edu,7.382852513,4.906013529,16.29035551
171,CHI,2018,Father_Occ,17.53849026,16.319614,16.31757509
172,CHI,2010,Father_Edu,10.73389875,10.84241644,16.32013405
173,CHI,2010,Mother_Occ,17.34753088,16.86818767,16.9761577
174,CHI,2018,Mother_Edu,4.600472549,2.822259078,17.26277615
175,CHI,2016,Father_Occ,17.41424327,15.10995351,18.56065855
176,CHI,2016,Mother_Edu,3.792871537,1.540533642,18.89559647
177,CHI,2012,Mother_Occ,21.64590316,18.78619615,20.8448162
178,CHI,2012,Father_Occ,19.13861158,21.02188288,20.95977543
179,CHI,2016,Mother_Occ,11.11757143,9.332647077,23.46959244
180,CHI,2010,Birth_Area,36.87890674,39.06630872,25.22580033
181,CHI,2018,Mother_Occ,13.09432124,12.63971841,29.53351145
182,CHI,2014,Birth_Area,48.03116507,51.75781545,33.163039
183,CHL,2009,Sex,5.173188264,6.171946996,4.312781712
184,CHL,2006,Sex,4.287193854,4.675790351,5.973149769
185,CHL,2013,Sex,7.737304749,8.305136998,6.038944908
186,CHL,2011,Sex,5.962411406,6.575575083,6.152501857
187,CHL,2009,Father_Occ,9.040647069,7.700923244,6.166104073
188,CHL,2009,Ethnicity,1.593461623,0,6.412392759
189,CHL,2015,Sex,7.936735447,7.978421836,8.387427116
190,CHL,2006,Ethnicity,2.675908924,1.96972952,10.53102149
191,CHL,2009,Mother_Occ,8.139368376,7.435900694,11.71375672
192,CHL,2015,Ethnicity,3.547222953,2.438676931,13.32335473
193,CHL,2011,Ethnicity,3.048949623,1.971631783,14.42052789
194,CHL,2013,Ethnicity,2.969102112,1.965259173,15.05100454
195,CHL,2009,Birth_Area,14.15212435,14.09204396,15.56817466
196,CHL,2006,Birth_Area,19.20546984,17.3851547,17.96604974
197,CHL,2013,Birth_Area,14.63717445,14.4386002,19.48066097
198,CHL,2011,Birth_Area,13.69632814,13.53763568,20.83836628
199,CHL,2015,Birth_Area,14.44205612,14.57967475,22.0853564
200,CHL,2009,Mother_Edu,30.16357306,31.35928239,26.46029179
